,id,age,sex,hhold,htype,wp,long,lat,RID
470391,36005019300i5284,48,f,36005019300h1914,6,36005019300h1914,-73.92888600259029,40.835539463488495,763675
470392,36005019300i2892,46,m,36005019300h1914,6,36005019300h1914,-73.92888600259029,40.835539463488495,763675
5790167,36081004700i1016,38,m,36081004700h1315,1,36061000700w3238,-73.93379737364671,40.7584825634637,782119
5790168,36081004700i2153,28,f,36081004700h1315,1,36081004700h1315,-73.93379737364671,40.7584825634637,782119
5790169,36081004700i2635,0,f,36081004700h1315,1,36005000400d0,-73.93379737364671,40.7584825634637,782119
5222540,36061019300i7310,5,f,36061019300h3208,0,36061017700s1,-73.9623657887453,40.7999102870859,774758
5222541,36061019300i4837,24,f,36061019300h3208,0,36061007600w1097,-73.9623657887453,40.7999102870859,774758
5222542,36061019300i7484,31,f,36061019300h3208,0,36061019300h3208,-73.9623657887453,40.7999102870859,774758
5222543,36061019300i3954,23,m,36061019300h3208,0,36061015300w547,-73.9623657887453,40.7999102870859,774758
5222544,36061019300i8321,27,f,36061019300h3208,0,09005425600w,-73.9623657887453,40.7999102870859,774758
5222545,36061019300i8415,21,f,36061019300h3208,0,36047000900w6491,-73.9623657887453,40.7999102870859,774758
6259008,36081026000i1633,3,m,36081026000h521,1,36103169800d0,-73.7911128512915,40.6924586589073,1258924
6259009,36081026000i1584,37,m,36081026000h521,1,36081026000h521,-73.7911128512915,40.6924586589073,1258924
6259010,36081026000i1115,72,f,36081026000h521,1,36081030600w207,-73.7911128512915,40.6924586589073,1258924
6259011,36081026000i546,66,m,36081026000h521,1,36081026000h521,-73.7911128512915,40.6924586589073,1258924
2171968,36047029100i3009,13,m,36047029100h972,1,36047038300s0,-73.9320516776906,40.6905981186845,795763
2171969,36047029100i1570,23,f,36047029100h972,1,36061007600w1461,-73.9320516776906,40.6905981186845,795763
2171970,36047029100i1182,34,m,36047029100h972,1,36047029100h972,-73.9320516776906,40.6905981186845,795763
2171971,36047029100i2059,5,f,36047029100h972,1,36047043300s3,-73.9320516776906,40.6905981186845,795763
2171972,36047029100i2057,4,m,36047029100h972,1,36047043300s3,-73.9320516776906,40.6905981186845,795763
2171973,36047029100i2860,33,f,36047029100h972,1,36061000900w1048,-73.9320516776906,40.6905981186845,795763
7081808,36081065400i222,3,f,36081065400h169,5,36005000400d0,-73.7448932153715,40.65823821476479,698328
7081809,36081065400i225,6,m,36081065400h169,5,36005000400s0,-73.7448932153715,40.65823821476479,698328
7081810,36081065400i1818,29,f,36081065400h169,5,36027010000w97,-73.7448932153715,40.65823821476479,698328
7081811,36081065400i1696,22,f,36081065400h169,5,36081134700w120,-73.7448932153715,40.65823821476479,698328
7081812,36081065400i216,12,f,36081065400h169,5,36059413400s1,-73.7448932153715,40.65823821476479,698328
7081813,36081065400i2059,56,f,36081065400h169,5,36081065400h169,-73.7448932153715,40.65823821476479,698328
7081814,36081065400i217,39,f,36081065400h169,5,36081065400h169,-73.7448932153715,40.65823821476479,698328
7093435,36081065703i840,85,f,36081065703h96,10,36059300900w371,-73.8722974719855,40.7172662868047,693517
6245319,36081025400i2571,27,m,36081025400h2274,1,36081025400h2274,-73.7924094569955,40.6940079531053,804730
6245320,36081025400i5093,3,f,36081025400h2274,1,36081044400d1,-73.7924094569955,40.6940079531053,804730
6245321,36081025400i5091,2,f,36081025400h2274,1,36081044400d1,-73.7924094569955,40.6940079531053,804730
6245322,36081025400i5503,16,f,36081025400h2274,1,36081025800s0,-73.7924094569955,40.6940079531053,804730
6245323,36081025400i6817,53,m,36081025400h2274,1,36081079701w18,-73.7924094569955,40.6940079531053,804730
6245324,36081025400i4273,28,f,36081025400h2274,1,36081025400h2274,-73.7924094569955,40.6940079531053,804730
2401028,36047036002i736,61,f,36047036002h1107,4,36047036002h1107,-73.9623816326354,40.57500814412229,956591
868665,36005029500i2580,23,m,36005029500h1623,0,36005029500h1623,-73.90652395205159,40.8869260055099,411479
868666,36005029500i2777,25,f,36005029500h1623,0,36005029500h1623,-73.90652395205159,40.8869260055099,411479
10044864,34013021400i4529,7,m,34013021400h1523,1,34035051300s1,-74.2211552774489,40.8456786208895,329330
10044865,34013021400i6413,63,f,34013021400h1523,1,34013021400h1523,-74.2211552774489,40.8456786208895,329330
10044866,34013021400i2892,47,f,34013021400h1523,1,34013021400h1523,-74.2211552774489,40.8456786208895,329330
10044867,34013021400i2726,40,m,34013021400h1523,1,34013021400h1523,-74.2211552774489,40.8456786208895,329330
10044868,34013021400i4524,9,m,34013021400h1523,1,34035051300s1,-74.2211552774489,40.8456786208895,329330
9409231,34003058100i2403,21,m,34003058100h1131,0,34027041902w632,-74.0758407634733,40.977927794086,1091675
9409232,34003058100i2532,20,f,34003058100h1131,0,34003041100w99,-74.0758407634733,40.977927794086,1091675
9409233,34003058100i3319,79,m,34003058100h1131,0,36087013401w24,-74.0758407634733,40.977927794086,1091675
6543886,36081038100i3489,61,m,36081038100h1172,1,36081038100h1172,-73.8559174457523,40.7546417986736,777188
6543887,36081038100i3399,14,f,36081038100h1172,1,36005037200s2,-73.8559174457523,40.7546417986736,777188
6543888,36081038100i4444,43,f,36081038100h1172,1,36081038100h1172,-73.8559174457523,40.7546417986736,777188
6543889,36081038100i2474,45,f,36081038100h1172,1,36081038100h1172,-73.8559174457523,40.7546417986736,777188
6543890,36081038100i5068,45,m,36081038100h1172,1,36081038100h1172,-73.8559174457523,40.7546417986736,777188
6543891,36081038100i1677,43,m,36081038100h1172,1,36081038100h1172,-73.8559174457523,40.7546417986736,777188
6543892,36081038100i5663,30,m,36081038100h1172,1,36061014500w870,-73.8559174457523,40.7546417986736,777188
10683241,34017019800i1957,55,m,34017019800h1245,1,36061016100w71,-74.0616500890117,40.8015811457844,329794
10683242,34017019800i2094,62,f,34017019800h1245,1,36061009400w2241,-74.0616500890117,40.8015811457844,329794
5484491,36061024301i815,20,f,36061024301h575,5,36061018700w24,-73.9384068255888,40.8370478156546,1146898
5484492,36061024301i1185,9,f,36061024301h575,5,36005019900s0,-73.9384068255888,40.8370478156546,1146898
5484493,36061024301i1181,3,m,36061024301h575,5,36061024301d1,-73.9384068255888,40.8370478156546,1146898
5484494,36061024301i3690,38,f,36061024301h575,5,36061024301h575,-73.9384068255888,40.8370478156546,1146898
5484495,36061024301i1183,5,f,36061024301h575,5,36005019900s0,-73.9384068255888,40.8370478156546,1146898
789611,36005026602i2399,35,f,36005026602h1767,1,36047000900w6955,-73.8355801200415,40.844440534334396,67084
789612,36005026602i2665,8,f,36005026602h1767,1,36005000400s0,-73.8355801200415,40.844440534334396,67084
789613,36005026602i2676,4,f,36005026602h1767,1,36005000400s0,-73.8355801200415,40.844440534334396,67084
789614,36005026602i2679,13,m,36005026602h1767,1,36005024400s0,-73.8355801200415,40.844440534334396,67084
789615,36005026602i1828,39,m,36005026602h1767,1,36005026602h1767,-73.8355801200415,40.844440534334396,67084
9716844,34013011100i2762,43,f,34013011100h1678,0,34013011100h1678,-74.2099436821657,40.760439644083206,1279138
9716845,34013011100i3228,65,m,34013011100h1678,0,34013011100h1678,-74.2099436821657,40.760439644083206,1279138
9716846,34013011100i2145,41,m,34013011100h1678,0,34013011100h1678,-74.2099436821657,40.760439644083206,1279138
125171,36005005600i22,69,f,36005005600h1,10,36005005600h1,-73.8773768222894,40.8334778250128,656674
2869941,36047051002i1763,39,f,36047051002h971,4,36047040300w26,-73.9595688196574,40.648068759246,664371
2869942,36047051002i4301,49,f,36047051002h971,4,36061003300w2369,-73.9595688196574,40.648068759246,664371
2869943,36047051002i3733,3,f,36047051002h971,4,36081003100d0,-73.9595688196574,40.648068759246,664371
7115864,36081066701i2118,58,m,36081066701h311,4,36081066701h311,-73.88975806126099,40.7230547010781,694985
7115865,36081066701i2064,24,f,36081066701h311,4,36081066701h311,-73.88975806126099,40.7230547010781,694985
7115866,36081066701i344,33,f,36081066701h311,4,36081066701h311,-73.88975806126099,40.7230547010781,694985
6912520,36081054900i3162,31,f,36081054900h1429,0,36061012800w317,-73.9063813916311,40.7029273271131,692045
6912521,36081054900i4128,31,f,36081054900h1429,0,36081054900h1429,-73.9063813916311,40.7029273271131,692045
6912522,36081054900i2657,37,m,36081054900h1429,0,36081019900w641,-73.9063813916311,40.7029273271131,692045
6912523,36081054900i4754,17,m,36081054900h1429,0,36005040900s1,-73.9063813916311,40.7029273271131,692045
7747636,36081122702i190,3,f,36081122702h960,5,36081122702h960,-73.81102462747741,40.7323082307697,694919
7747637,36081122702i973,20,f,36081122702h960,5,36081122702h960,-73.81102462747741,40.7323082307697,694919
7747638,36081122702i202,4,m,36081122702h960,5,36103200902s4,-73.81102462747741,40.7323082307697,694919
7747639,36081122702i6322,26,m,36081122702h960,5,36081122702h960,-73.81102462747741,40.7323082307697,694919
7747640,36081122702i5414,44,f,36081122702h960,5,36081122702h960,-73.81102462747741,40.7323082307697,694919
4546161,36061008200i3079,38,m,36061008200h2087,6,36061009900w322,-73.98037809188091,40.7513080361249,774500
4546162,36061008200i3082,47,m,36061008200h2087,6,36061008200h2087,-73.98037809188091,40.7513080361249,774500
3170830,36047062200i1335,57,m,36047062200h1015,1,36047062200h1015,-73.9311719639378,40.5849391125986,664942
3170831,36047062200i1284,62,f,36047062200h1015,1,36047062200h1015,-73.9311719639378,40.5849391125986,664942
4321671,36061004000i5524,16,m,36061004000h3794,6,36061004800s3,-73.9884140526456,40.7299384285825,449216
4321672,36061004000i5523,21,m,36061004000h3794,6,36061013100w1745,-73.9884140526456,40.7299384285825,449216
6894886,36081054000i2987,6,f,36081054000h986,0,36103201100s0,-73.7419323148502,40.714752202638,776960
6894887,36081054000i1966,50,f,36081054000h986,0,36081029400w125,-73.7419323148502,40.714752202638,776960
6894888,36081054000i1672,48,m,36081054000h986,0,36061008800w239,-73.7419323148502,40.714752202638,776960
9316279,34003051100i4514,57,f,34003051100h2319,6,34017007100w144,-74.11359381169021,40.838664840476106,306531
9316280,34003051100i4522,48,f,34003051100h2319,6,34031175801w174,-74.11359381169021,40.838664840476106,306531
10314849,34017007700i6040,77,m,34017007700h3445,6,34017007700w765,-74.0387322390776,40.7246852195168,331226
10314850,34017007700i5959,72,m,34017007700h3445,6,36061020300w1239,-74.0387322390776,40.7246852195168,331226
10314851,34017007700i9321,30,m,34017007700h3445,6,34017007700w334,-74.0387322390776,40.7246852195168,331226
10314852,34017007700i6030,84,m,34017007700h3445,6,34017007700h3445,-74.0387322390776,40.7246852195168,331226
5576131,36061026900i7644,29,f,36061026900h2325,6,34023006206w84,-73.9286116324597,40.8520574681071,1251721
5576132,36061026900i3260,33,m,36061026900h2325,6,36061026900h2325,-73.9286116324597,40.8520574681071,1251721
5576133,36061026900i3270,32,m,36061026900h2325,6,36061026900h2325,-73.9286116324597,40.8520574681071,1251721
5576134,36061026900i3271,22,m,36061026900h2325,6,34003008000w156,-73.9286116324597,40.8520574681071,1251721
5576135,36061026900i3267,40,m,36061026900h2325,6,36061026900w39,-73.9286116324597,40.8520574681071,1251721
1896027,36047021200i1850,41,f,36047021200h943,1,36103146613w119,-74.00848810712891,40.629627123834794,803463
1896028,36047021200i3065,9,f,36047021200h943,1,36047010800s1,-74.00848810712891,40.629627123834794,803463
1896029,36047021200i3811,18,m,36047021200h943,1,36047021200h943,-74.00848810712891,40.629627123834794,803463
1896030,36047021200i1734,41,m,36047021200h943,1,36047010400w4,-74.00848810712891,40.629627123834794,803463
1896031,36047021200i3063,11,m,36047021200h943,1,36047010800s1,-74.00848810712891,40.629627123834794,803463
5940630,36081011100i2517,20,m,36081011100h555,1,36081011100h555,-73.9080684034352,40.779798307960206,780557
5940631,36081011100i710,11,m,36081011100h555,1,36005018302s6,-73.9080684034352,40.779798307960206,780557
5940632,36081011100i514,38,m,36081011100h555,1,36081011100h555,-73.9080684034352,40.779798307960206,780557
5940633,36081011100i732,40,f,36081011100h555,1,36081011100h555,-73.9080684034352,40.779798307960206,780557
5940634,36081011100i721,5,f,36081011100h555,1,36005018302s6,-73.9080684034352,40.779798307960206,780557
5940635,36081011100i2964,72,m,36081011100h555,1,36081011100h555,-73.9080684034352,40.779798307960206,780557
171369,36005006900i4958,63,f,36005006900h2382,0,36005008700w27,-73.919686923718,40.8225141267991,411576
171370,36005006900i3546,59,m,36005006900h2382,0,36061010100w729,-73.919686923718,40.8225141267991,411576
171371,36005006900i5881,32,m,36005006900h2382,0,36005006900h2382,-73.919686923718,40.8225141267991,411576
8995012,34003019306i1261,32,m,34003019306h685,0,36061016100w76,-73.98043289887279,40.838259176368496,862924
8995013,34003019306i1279,25,f,34003019306h685,0,34003019306h685,-73.98043289887279,40.838259176368496,862924
8995014,34003019306i1982,80,m,34003019306h685,0,34003019306h685,-73.98043289887279,40.838259176368496,862924
8995015,34003019306i1946,55,m,34003019306h685,0,34003036200w405,-73.98043289887279,40.838259176368496,862924
8423879,36119001800i331,27,m,36119001800h314,1,36061002602w12,-73.8700915625208,40.9600094978374,121948
8423880,36119001800i1223,16,f,36119001800h314,1,36119010702s1,-73.8700915625208,40.9600094978374,121948
8423881,36119001800i798,4,f,36119001800h314,1,36005028100s0,-73.8700915625208,40.9600094978374,121948
8423882,36119001800i1517,19,f,36119001800h314,1,36119001800h314,-73.8700915625208,40.9600094978374,121948
8423883,36119001800i795,5,m,36119001800h314,1,36005028100s0,-73.8700915625208,40.9600094978374,121948
8423884,36119001800i468,19,f,36119001800h314,1,36119001800h314,-73.8700915625208,40.9600094978374,121948
10164674,34017002900i3087,56,f,34017002900h1376,6,34017002900h1376,-74.0688266075766,40.724897378959795,608832
10164675,34017002900i2521,20,m,34017002900h1376,6,36061010400w778,-74.0688266075766,40.724897378959795,608832
10164676,34017002900i3509,33,m,34017002900h1376,6,34017002900h1376,-74.0688266075766,40.724897378959795,608832
10164677,34017002900i3888,16,f,34017002900h1376,6,34017006700s1,-74.0688266075766,40.724897378959795,608832
10164678,34017002900i3408,52,f,34017002900h1376,6,34017002900h1376,-74.0688266075766,40.724897378959795,608832
10164679,34017002900i1550,18,m,34017002900h1376,6,34017002900h1376,-74.0688266075766,40.724897378959795,608832
4695278,36061012100i8106,61,f,36061012100h4646,6,36061002100w1341,-73.9916013933874,40.75887641784129,1146035
4695279,36061012100i6061,38,f,36061012100h4646,6,36061006200w1177,-73.9916013933874,40.75887641784129,1146035
4695280,36061012100i6074,29,f,36061012100h4646,6,36061012100h4646,-73.9916013933874,40.75887641784129,1146035
1353507,36005046201i15999,0,f,36005046201h9169,1,36005046201h9169,-73.8259903297293,40.8640654865184,411851
1353508,36005046201i16010,1,m,36005046201h9169,1,36005046201h9169,-73.8259903297293,40.8640654865184,411851
1353509,36005046201i21254,67,f,36005046201h9169,1,36005046201h9169,-73.8259903297293,40.8640654865184,411851
1353510,36005046201i9233,37,m,36005046201h9169,1,36005046201h9169,-73.8259903297293,40.8640654865184,411851
1353511,36005046201i13758,37,f,36005046201h9169,1,36005046201h9169,-73.8259903297293,40.8640654865184,411851
7447922,36081092500i808,26,f,36081092500h472,4,36081092500h472,-73.8434183022615,40.7853236143241,778333
7447923,36081092500i2979,33,f,36081092500h472,4,36081092500h472,-73.8434183022615,40.7853236143241,778333
4096099,36059411500i203,9,f,36059411500h181,1,36059411400s2,-73.69781395780599,40.6270039393439,671215
4096100,36059411500i206,9,m,36059411500h181,1,36059411400s2,-73.69781395780599,40.6270039393439,671215
4096101,36059411500i196,19,f,36059411500h181,1,36059411500h181,-73.69781395780599,40.6270039393439,671215
4096102,36059411500i177,23,m,36059411500h181,1,36059411500h181,-73.69781395780599,40.6270039393439,671215
5732398,36081001600i688,64,f,36081001600h393,1,36081071600w2260,-73.85339414592259,40.689429902949,781741
5732399,36081001600i512,56,m,36081001600h393,1,36081001600h393,-73.85339414592259,40.689429902949,781741
5732400,36081001600i2413,6,m,36081001600h393,1,36103170002s1,-73.85339414592259,40.689429902949,781741
5732401,36081001600i2113,40,m,36081001600h393,1,36061013300w94,-73.85339414592259,40.689429902949,781741
10077671,34017000100i1731,14,m,34017000100h931,1,34017017000s1,-74.052023457191,40.753885190408795,1097273
10077672,34017000100i1491,34,f,34017000100h931,1,34017000100h931,-74.052023457191,40.753885190408795,1097273
10077673,34017000100i1009,35,m,34017000100h931,1,34017003100w145,-74.052023457191,40.753885190408795,1097273
10077674,34017000100i5984,26,f,34017000100h931,1,34007607507w,-74.052023457191,40.753885190408795,1097273
10573388,34017016500i1308,20,f,34017016500h874,1,34017016500h874,-74.02498940687451,40.771220318054795,791914
10573389,34017016500i1707,7,f,34017016500h874,1,34003046100s0,-74.02498940687451,40.771220318054795,791914
10573390,34017016500i1724,10,m,34017016500h874,1,34003046100s0,-74.02498940687451,40.771220318054795,791914
10573391,34017016500i1719,10,f,34017016500h874,1,34003046100s0,-74.02498940687451,40.771220318054795,791914
10573392,34017016500i1113,34,m,34017016500h874,1,36047051300w64,-74.02498940687451,40.771220318054795,791914
10573393,34017016500i3219,72,f,34017016500h874,1,36061006300w162,-74.02498940687451,40.771220318054795,791914
10573394,34017016500i3168,86,f,34017016500h874,1,34017016500h874,-74.02498940687451,40.771220318054795,791914
9021104,34003021500i3925,24,f,34003021500h717,5,34013008200w150,-74.098808955516,40.8699929371529,593726
9021105,34003021500i1473,7,m,34003021500h717,5,34039030702s1,-74.098808955516,40.8699929371529,593726
9021106,34003021500i1470,9,m,34003021500h717,5,34039030702s1,-74.098808955516,40.8699929371529,593726
9021107,34003021500i1102,37,f,34003021500h717,5,34003023501w174,-74.098808955516,40.8699929371529,593726
9021108,34003021500i3473,35,f,34003021500h717,5,34031223802w426,-74.098808955516,40.8699929371529,593726
3645711,36047099800i3423,28,f,36047099800h754,2,36005004400w128,-73.90458786903758,40.628608149373,73307
3645712,36047099800i2643,86,f,36047099800h754,2,36047099800h754,-73.90458786903758,40.628608149373,73307
3645713,36047099800i578,33,m,36047099800h754,2,36047015200w157,-73.90458786903758,40.628608149373,73307
3645714,36047099800i3680,6,m,36047099800h754,2,36047069602s2,-73.90458786903758,40.628608149373,73307
3645715,36047099800i2480,32,m,36047099800h754,2,36047099800h754,-73.90458786903758,40.628608149373,73307
1293915,36005043100i5130,45,m,36005043100h3190,6,36061003300w2165,-73.8800402117771,40.8843071518439,656503
1293916,36005043100i5134,44,m,36005043100h3190,6,36005043100h3190,-73.8800402117771,40.8843071518439,656503
1293917,36005043100i7493,18,m,36005043100h3190,6,36005028900w24,-73.8800402117771,40.8843071518439,656503
1293918,36005043100i7135,46,f,36005043100h3190,6,36005043100h3190,-73.8800402117771,40.8843071518439,656503
10226122,34017005400i3047,2,f,34017005400h1320,1,34017005500d0,-74.0889338160573,40.7072696455519,920539
10226123,34017005400i3055,1,f,34017005400h1320,1,34017005500d0,-74.0889338160573,40.7072696455519,920539
10226124,34017005400i3053,13,m,34017005400h1320,1,34017006500s2,-74.0889338160573,40.7072696455519,920539
10226125,34017005400i1506,35,m,34017005400h1320,1,34017005801w56,-74.0889338160573,40.7072696455519,920539
10226126,34017005400i2382,43,f,34017005400h1320,1,34039031700w222,-74.0889338160573,40.7072696455519,920539
10226127,34017005400i6053,85,f,34017005400h1320,1,36061010000w1631,-74.0889338160573,40.7072696455519,920539
290672,36005012300i3734,54,f,36005012300h1257,0,36061029300w33,-73.88589951865941,40.8287259520644,67131
290673,36005012300i3195,34,m,36005012300h1257,0,36005051600w64,-73.88589951865941,40.8287259520644,67131
290674,36005012300i2449,40,f,36005012300h1257,0,36005012300w4,-73.88589951865941,40.8287259520644,67131
290675,36005012300i3863,13,f,36005012300h1257,0,36005014900s2,-73.88589951865941,40.8287259520644,67131
290676,36005012300i1800,48,m,36005012300h1257,0,36005012300h1257,-73.88589951865941,40.8287259520644,67131
290677,36005012300i3162,28,f,36005012300h1257,0,36005012300h1257,-73.88589951865941,40.8287259520644,67131
5248397,36061019800i517,52,m,36061019800h621,3,36005004100w33,-73.94118349798092,40.80261441315321,774425
5248398,36061019800i1633,40,m,36061019800h621,3,36061003100w2171,-73.94118349798092,40.80261441315321,774425
5248399,36061019800i1866,57,f,36061019800h621,3,36061019800h621,-73.94118349798092,40.80261441315321,774425
5248400,36061019800i666,3,m,36061019800h621,3,36061019800d0,-73.94118349798092,40.80261441315321,774425
1723045,36047014700i1207,34,m,36047014700h677,6,25025030300w,-73.98878949549021,40.6589045712985,796182
1723046,36047014700i1950,68,m,36047014700h677,6,36047014700h677,-73.98878949549021,40.6589045712985,796182
1723047,36047014700i1214,25,m,36047014700h677,6,36047014700h677,-73.98878949549021,40.6589045712985,796182
235678,36005008600i1334,5,f,36005008600h655,5,36005000400s0,-73.8490783552985,40.8166998516248,411952
235679,36005008600i1343,4,m,36005008600h655,5,36005000400s0,-73.8490783552985,40.8166998516248,411952
235680,36005008600i1199,27,f,36005008600h655,5,36087012600w310,-73.8490783552985,40.8166998516248,411952
7803482,36081136700i3381,84,f,36081136700h1820,0,36081136700h1820,-73.7562314518819,40.745254485078895,473022
7803483,36081136700i5326,57,m,36081136700h1820,0,36081136700h1820,-73.7562314518819,40.745254485078895,473022
7803484,36081136700i4775,51,f,36081136700h1820,0,36081136700h1820,-73.7562314518819,40.745254485078895,473022
7803485,36081136700i2995,89,m,36081136700h1820,0,36081136700h1820,-73.7562314518819,40.745254485078895,473022
7803486,36081136700i5818,48,f,36081136700h1820,0,36081136700h1820,-73.7562314518819,40.745254485078895,473022
8569836,36119005100i3810,32,m,36119005100h1344,0,36119005100h1344,-73.8073766314192,40.9567308137399,544317
8569837,36119005100i2632,61,f,36119005100h1344,0,36119005100h1344,-73.8073766314192,40.9567308137399,544317
8569838,36119005100i2288,72,m,36119005100h1344,0,36119002600w404,-73.8073766314192,40.9567308137399,544317
8061726,36085012100i193,50,m,36085012100h375,2,36085012100h375,-74.10593317074759,40.6267953738109,701351
8061727,36085012100i2529,50,f,36085012100h375,2,36085012100w35,-74.10593317074759,40.6267953738109,701351
3744194,36047114202i301,12,f,36047114202h257,5,36047117202s0,-73.8906606302868,40.6823063934165,662716
3744195,36047114202i299,16,m,36047114202h257,5,36081061301s0,-73.8906606302868,40.6823063934165,662716
3744196,36047114202i350,36,f,36047114202h257,5,36081048000w408,-73.8906606302868,40.6823063934165,662716
3744197,36047114202i305,0,f,36047114202h257,5,36047119800d2,-73.8906606302868,40.6823063934165,662716
