,id,age,sex,hhold,htype,wp,long,lat,RID
2363499,36047035200i282,79,m,36047035200h297,8,36061000900w1925,-73.9803091376262,40.573317296441495,768276
5643491,36061029100i3797,29,m,36061029100h3045,0,36061007600w1480,-73.9234991046465,40.863280939646394,683044
5643492,36061029100i10355,68,f,36061029100h3045,0,36061029100h3045,-73.9234991046465,40.863280939646394,683044
5643493,36061029100i7625,51,f,36061029100h3045,0,36061007200w548,-73.9234991046465,40.863280939646394,683044
5643494,36061029100i9143,21,m,36061029100h3045,0,36061029100h3045,-73.9234991046465,40.863280939646394,683044
5643495,36061029100i5802,34,f,36061029100h3045,0,36119008500w268,-73.9234991046465,40.863280939646394,683044
5643496,36061029100i10890,5,f,36061029100h3045,0,36061028300s2,-73.9234991046465,40.863280939646394,683044
425449,36005017901i3301,19,m,36005017901h336,5,36061009100w63,-73.9144650624536,40.8344511558442,793944
425450,36005017901i470,48,f,36005017901h336,5,36005017901h336,-73.9144650624536,40.8344511558442,793944
425451,36005017901i170,13,f,36005017901h336,5,36119009600s1,-73.9144650624536,40.8344511558442,793944
5523682,36061025300i4382,21,f,36061025300h2439,1,36061025300h2439,-73.9406375949794,40.8430177478475,1253804
5523683,36061025300i5656,11,m,36061025300h2439,1,36061026300s1,-73.9406375949794,40.8430177478475,1253804
5523684,36061025300i5654,9,f,36061025300h2439,1,36061026300s1,-73.9406375949794,40.8430177478475,1253804
5523685,36061025300i7520,46,f,36061025300h2439,1,36061020300w592,-73.9406375949794,40.8430177478475,1253804
5523686,36061025300i2342,21,m,36061025300h2439,1,36061025300h2439,-73.9406375949794,40.8430177478475,1253804
250737,36005009200i1834,78,m,36005009200h1381,0,36103112206w737,-73.853766451793,40.8323035713479,655914
250738,36005009200i3932,35,f,36005009200h1381,0,36005009200h1381,-73.853766451793,40.8323035713479,655914
250739,36005009200i2500,66,f,36005009200h1381,0,36005028600w502,-73.853766451793,40.8323035713479,655914
250740,36005009200i3696,63,m,36005009200h1381,0,36005009200h1381,-73.853766451793,40.8323035713479,655914
250741,36005009200i4696,9,f,36005009200h1381,0,36005000400s0,-73.853766451793,40.8323035713479,655914
9463331,34013001100i157,20,f,34013001100h65,9,34013001100h65,-74.17665175670291,40.743003474786796,35251
9644117,34013009100i620,44,f,34013009100h268,5,34013009100h268,-74.17846981880379,40.759672259252206,751123
9644118,34013009100i649,13,m,34013009100h268,5,34013022900s3,-74.17846981880379,40.759672259252206,751123
9644119,34013009100i2481,7,f,34013009100h268,5,34003001000s1,-74.17846981880379,40.759672259252206,751123
10572080,34017016500i447,28,f,34017016500h446,5,34017001202w38,-74.024888643214,40.772747518102,752262
10572081,34017016500i176,2,f,34017016500h446,5,34017019900d1,-74.024888643214,40.772747518102,752262
10053361,34013022700i1229,61,m,34013022700h1066,1,34013022700h1066,-74.1884325588443,40.7192288229502,326134
10053362,34013022700i1838,59,f,34013022700h1066,1,34013022700h1066,-74.1884325588443,40.7192288229502,326134
10053363,34013022700i2467,24,f,34013022700h1066,1,34035052204w320,-74.1884325588443,40.7192288229502,326134
10053364,34013022700i1956,15,f,34013022700h1066,1,34039034900s2,-74.1884325588443,40.7192288229502,326134
10053365,34013022700i2196,22,m,34013022700h1066,1,34013022700h1066,-74.1884325588443,40.7192288229502,326134
10053366,34013022700i2796,21,f,34013022700h1066,1,34013022700h1066,-74.1884325588443,40.7192288229502,326134
10053367,34013022700i1971,17,f,34013022700h1066,1,34039034900s2,-74.1884325588443,40.7192288229502,326134
8604395,36119005901i2597,14,m,36119005901h1183,1,36119006600s1,-73.7758785254792,40.904926719067795,1001411
8604396,36119005901i1521,53,m,36119005901h1183,1,36119005901h1183,-73.7758785254792,40.904926719067795,1001411
8604397,36119005901i2591,17,m,36119005901h1183,1,36119006600s1,-73.7758785254792,40.904926719067795,1001411
8604398,36119005901i1723,54,f,36119005901h1183,1,36103122300w922,-73.7758785254792,40.904926719067795,1001411
8604399,36119005901i3812,78,f,36119005901h1183,1,36119005901h1183,-73.7758785254792,40.904926719067795,1001411
10471957,34017014501i2551,5,m,34017014501h1160,1,34003004001s2,-74.0220143852529,40.7992577251964,610296
10471958,34017014501i4766,19,m,34017014501h1160,1,34017014501h1160,-74.0220143852529,40.7992577251964,610296
10471959,34017014501i2529,6,f,34017014501h1160,1,34003004001s2,-74.0220143852529,40.7992577251964,610296
10471960,34017014501i1428,57,m,34017014501h1160,1,34017020000w116,-74.0220143852529,40.7992577251964,610296
10471961,34017014501i1983,48,f,34017014501h1160,1,34017014501h1160,-74.0220143852529,40.7992577251964,610296
7503775,36081096400i189,8,f,36081096400h270,5,36005041500s0,-73.789538214472,40.59301801729389,778127
7503776,36081096400i393,43,f,36081096400h270,5,36081077907w50,-73.789538214472,40.59301801729389,778127
7503777,36081096400i3520,47,f,36081096400h270,5,36059411000w339,-73.789538214472,40.59301801729389,778127
7503778,36081096400i188,10,m,36081096400h270,5,36005041500s0,-73.789538214472,40.59301801729389,778127
9791981,34013013300i2106,49,m,34013013300h1266,6,34027043301w106,-74.21258372052479,40.7386528655393,36146
9791982,34013013300i2102,49,m,34013013300h1266,6,34013013300h1266,-74.21258372052479,40.7386528655393,36146
9791983,34013013300i2108,51,m,34013013300h1266,6,34013007700w61,-74.21258372052479,40.7386528655393,36146
9983896,34013018200i904,40,f,34013018200h779,5,34013018200h779,-74.23179809896091,40.776692155992606,603045
9983897,34013018200i751,2,m,34013018200h779,5,34013018200h779,-74.23179809896091,40.776692155992606,603045
7679337,36081116300i2328,63,f,36081116300h1482,1,36081116300h1482,-73.8186019531918,40.7637339998243,799687
7679338,36081116300i6662,36,f,36081116300h1482,1,36081116300h1482,-73.8186019531918,40.7637339998243,799687
7679339,36081116300i8676,14,m,36081116300h1482,1,36103112102s3,-73.8186019531918,40.7637339998243,799687
7679340,36081116300i2159,57,m,36081116300h1482,1,36081086500w49,-73.8186019531918,40.7637339998243,799687
7679341,36081116300i7999,26,f,36081116300h1482,1,36081116300h1482,-73.8186019531918,40.7637339998243,799687
5520807,36061025300i8555,15,m,36061025300h1594,4,36061027700s3,-73.93658671178441,40.8437442797334,1146534
5520808,36061025300i3073,26,f,36061025300h1594,4,36061025300h1594,-73.93658671178441,40.8437442797334,1146534
5520809,36061025300i10572,25,f,36061025300h1594,4,36061011500w287,-73.93658671178441,40.8437442797334,1146534
5206497,36061019100i1285,9,m,36061019100h2308,5,36061019500s3,-73.9687138781908,40.7988853425767,450124
5206498,36061019100i8482,83,m,36061019100h2308,5,36061019100w51,-73.9687138781908,40.7988853425767,450124
5206499,36061019100i2781,50,f,36061019100h2308,5,36061019100h2308,-73.9687138781908,40.7988853425767,450124
9375462,34003054600i1603,57,f,34003054600h1128,4,34003054600h1128,-74.0038858715855,40.874831608977,320314
3104859,36047058600i1974,34,m,36047058600h488,1,36047058600h488,-73.9532885732008,40.592564603741295,803470
3104860,36047058600i2171,51,f,36047058600h488,1,36047058600h488,-73.9532885732008,40.592564603741295,803470
3104861,36047058600i871,37,f,36047058600h488,1,36047058600h488,-73.9532885732008,40.592564603741295,803470
3104862,36047058600i810,38,m,36047058600h488,1,36047058600h488,-73.9532885732008,40.592564603741295,803470
3104863,36047058600i1396,0,f,36047058600h488,1,36047058600h488,-73.9532885732008,40.592564603741295,803470
2341869,36047034500i323,53,f,36047034500h322,5,36047034500h322,-73.93618166376821,40.674340387543204,768471
2341870,36047034500i103,10,f,36047034500h322,5,36047027300s1,-73.93618166376821,40.674340387543204,768471
2341871,36047034500i94,17,m,36047034500h322,5,36047027100s0,-73.93618166376821,40.674340387543204,768471
2341872,36047034500i83,14,f,36047034500h322,5,36047027100s0,-73.93618166376821,40.674340387543204,768471
2341873,36047034500i2162,44,m,36047034500h322,5,36047034500h322,-73.93618166376821,40.674340387543204,768471
5169328,36061018500i1107,39,f,36061018500h838,9,36061018500h838,-73.9638847150527,40.792768390236,450117
1909182,36047021600i889,54,m,36047021600h398,1,36047021600h398,-73.9991599163622,40.6338091631294,796910
1909183,36047021600i892,40,f,36047021600h398,1,34017006000w2,-73.9991599163622,40.6338091631294,796910
1909184,36047021600i760,8,m,36047021600h398,1,36047010800s1,-73.9991599163622,40.6338091631294,796910
1909185,36047021600i758,0,f,36047021600h398,1,36047023600d3,-73.9991599163622,40.6338091631294,796910
1909186,36047021600i2329,13,f,36047021600h398,1,36047022000s0,-73.9991599163622,40.6338091631294,796910
1909187,36047021600i756,0,f,36047021600h398,1,36047023600d3,-73.9991599163622,40.6338091631294,796910
824037,36005027402i1686,21,f,36005027402h994,0,36005027402h994,-73.81728227734641,40.8481116493662,412017
824038,36005027402i1665,34,m,36005027402h994,0,36005020000w115,-73.81728227734641,40.8481116493662,412017
9599333,34013007300i409,29,m,34013007300h549,3,34013007300h549,-74.1490060505892,40.7270355763995,606373
9599334,34013007300i1414,6,m,34013007300h549,3,34003001000s1,-74.1490060505892,40.7270355763995,606373
9599335,34013007300i1423,0,f,34013007300h549,3,34013007300h549,-74.1490060505892,40.7270355763995,606373
9599336,34013007300i1432,14,f,34013007300h549,3,34023007301s1,-74.1490060505892,40.7270355763995,606373
10379040,34017011600i2994,57,f,34017011600h1612,0,36061009800w235,-74.13487388819159,40.646012323478296,331512
10379041,34017011600i2572,59,m,34017011600h1612,0,34017011600h1612,-74.13487388819159,40.646012323478296,331512
9092239,34003025200i5247,12,m,34003025200h757,1,34003025200s3,-74.0732630697177,40.8634388330856,598633
9092240,34003025200i1013,50,f,34003025200h757,1,34003025200w159,-74.0732630697177,40.8634388330856,598633
9092241,34003025200i5025,88,m,34003025200h757,1,34017012400w8,-74.0732630697177,40.8634388330856,598633
9092242,34003025200i743,62,m,34003025200h757,1,34003025200h757,-74.0732630697177,40.8634388330856,598633
9092243,34003025200i5332,1,f,34003025200h757,1,34003025200d2,-74.0732630697177,40.8634388330856,598633
9092244,34003025200i769,10,f,34003025200h757,1,34003023100s0,-74.0732630697177,40.8634388330856,598633
9092245,34003025200i773,14,f,34003025200h757,1,34003023502s0,-74.0732630697177,40.8634388330856,598633
8711265,36119008403i3233,48,m,36119008403h1222,0,36119008403h1222,-73.7283196013705,40.965657387174794,789987
8711266,36119008403i2372,79,m,36119008403h1222,0,36103145804w856,-73.7283196013705,40.965657387174794,789987
8711267,36119008403i2534,78,f,36119008403h1222,0,36047000900w6559,-73.7283196013705,40.965657387174794,789987
8711268,36119008403i3021,35,f,36119008403h1222,0,36119008403h1222,-73.7283196013705,40.965657387174794,789987
1934065,36047022200i4609,41,f,36047022200h581,1,36047022200h581,-73.9949275484964,40.6385456062028,805424
1934066,36047022200i1415,19,f,36047022200h581,1,36087012106w129,-73.9949275484964,40.6385456062028,805424
1934067,36047022200i4234,0,f,36047022200h581,1,36047023200d3,-73.9949275484964,40.6385456062028,805424
1934068,36047022200i3267,15,m,36047022200h581,1,36047008200s1,-73.9949275484964,40.6385456062028,805424
1934069,36047022200i850,5,m,36047022200h581,1,36047009400s0,-73.9949275484964,40.6385456062028,805424
1934070,36047022200i1158,29,m,36047022200h581,1,36047023800w38,-73.9949275484964,40.6385456062028,805424
1934071,36047022200i855,4,f,36047022200h581,1,36047009400s0,-73.9949275484964,40.6385456062028,805424
1934072,36047022200i853,7,m,36047022200h581,1,36047009400s0,-73.9949275484964,40.6385456062028,805424
7793756,36081134700i3778,11,m,36081134700h2112,1,36005000400s0,-73.775401228739,40.7398770093393,468880
7793757,36081134700i3184,45,f,36081134700h2112,1,36081134700h2112,-73.775401228739,40.7398770093393,468880
7793758,36081134700i2586,50,m,36081134700h2112,1,36081134700h2112,-73.775401228739,40.7398770093393,468880
2495613,36047038900i1215,23,m,36047038900h825,6,36061016300w25,-73.9379303253487,40.701297900740705,424651
2495614,36047038900i1214,31,m,36047038900h825,6,36061031703w518,-73.9379303253487,40.701297900740705,424651
2495615,36047038900i1217,26,m,36047038900h825,6,36047038900h825,-73.9379303253487,40.701297900740705,424651
2495616,36047038900i2495,10,f,36047038900h825,6,36047042500s0,-73.9379303253487,40.701297900740705,424651
2495617,36047038900i2365,39,m,36047038900h825,6,36061010200w1926,-73.9379303253487,40.701297900740705,424651
2495618,36047038900i2126,75,m,36047038900h825,6,36081025301w32,-73.9379303253487,40.701297900740705,424651
3940652,36059301800i3558,46,f,36059301800h1703,0,36059301800w1257,-73.7135433854302,40.780533194012705,666377
3940653,36059301800i3539,40,m,36059301800h1703,0,36059301800h1703,-73.7135433854302,40.780533194012705,666377
1572483,36047009200i1661,39,f,36047009200h882,1,36081053100w173,-73.99819198389879,40.645080050287106,769064
1572484,36047009200i2246,13,m,36047009200h882,1,36047049800s0,-73.99819198389879,40.645080050287106,769064
1572485,36047009200i2237,14,m,36047009200h882,1,36047076800s7,-73.99819198389879,40.645080050287106,769064
1572486,36047009200i1366,32,m,36047009200h882,1,36047009200h882,-73.99819198389879,40.645080050287106,769064
1572487,36047009200i4490,39,m,36047009200h882,1,36047009200h882,-73.99819198389879,40.645080050287106,769064
10559000,34017016200i140,60,m,34017016200h244,7,34017016200h244,-74.02595786811291,40.778696740198995,752028
8541458,36119004300i1408,17,f,36119004300h472,0,36119006600s1,-73.8178261594589,40.918910542355796,737668
8541459,36119004300i738,72,m,36119004300h472,0,36119004300h472,-73.8178261594589,40.918910542355796,737668
8541460,36119004300i688,78,f,36119004300h472,0,36119010803w82,-73.8178261594589,40.918910542355796,737668
8541461,36119004300i1660,80,m,36119004300h472,0,36119000900w249,-73.8178261594589,40.918910542355796,737668
8541462,36119004300i1597,47,f,36119004300h472,0,36061002900w2610,-73.8178261594589,40.918910542355796,737668
2056714,36047025901i446,35,f,36047025901h268,5,36047025901h268,-73.94612584435691,40.6944715303153,796726
2056715,36047025901i617,7,m,36047025901h268,5,36047050900s0,-73.94612584435691,40.6944715303153,796726
2056716,36047025901i1768,33,m,36047025901h268,5,36047025901h268,-73.94612584435691,40.6944715303153,796726
2056717,36047025901i1419,28,f,36047025901h268,5,36047025901h268,-73.94612584435691,40.6944715303153,796726
6272349,36081026300i3738,34,f,36081026300h1928,6,36081026300h1928,-73.8979142259313,40.7451633507742,467097
6272350,36081026300i4754,22,f,36081026300h1928,6,36081026300h1928,-73.8979142259313,40.7451633507742,467097
6272351,36081026300i3751,21,f,36081026300h1928,6,36081026300h1928,-73.8979142259313,40.7451633507742,467097
10563128,34017016300i2566,41,m,34017016300h1459,6,34017016300w24,-74.0226705011593,40.7785470427092,752497
10563129,34017016300i4400,54,m,34017016300h1459,6,34017016300h1459,-74.0226705011593,40.7785470427092,752497
10563130,34017016300i2567,45,m,34017016300h1459,6,34017016300h1459,-74.0226705011593,40.7785470427092,752497
9508078,34013002500i2642,52,f,34013002500h877,1,34013002500h877,-74.221118456325,40.74167906634779,608124
9508079,34013002500i813,48,m,34013002500h877,1,34013016800w348,-74.221118456325,40.74167906634779,608124
9508080,34013002500i3421,11,m,34013002500h877,1,34003001000s1,-74.221118456325,40.74167906634779,608124
9508081,34013002500i1564,14,m,34013002500h877,1,34023001413s4,-74.221118456325,40.74167906634779,608124
9508082,34013002500i1568,9,f,34013002500h877,1,34003001000s1,-74.221118456325,40.74167906634779,608124
9508083,34013002500i1641,52,f,34013002500h877,1,34013004600w210,-74.221118456325,40.74167906634779,608124
2435671,36047037000i675,37,m,36047037000h679,1,36047037000h679,-73.9623530531013,40.588747340931796,664744
2435672,36047037000i1002,1,f,36047037000h679,1,36047037000d1,-73.9623530531013,40.588747340931796,664744
2435673,36047037000i1089,38,f,36047037000h679,1,36081071600w2743,-73.9623530531013,40.588747340931796,664744
1825660,36047018700i570,24,m,36047018700h368,0,36061009200w1912,-73.9698528941482,40.693244511337205,797283
1825661,36047018700i1382,55,m,36047018700h368,0,36061008200w2019,-73.9698528941482,40.693244511337205,797283
1825662,36047018700i680,19,f,36047018700h368,0,36061011800w158,-73.9698528941482,40.693244511337205,797283
3175663,36047062600i1832,14,f,36047062600h653,1,36047062600s0,-73.9342227176888,40.5956636938047,665725
3175664,36047062600i2327,13,m,36047062600h653,1,36047055800s0,-73.9342227176888,40.5956636938047,665725
3175665,36047062600i1873,17,m,36047062600h653,1,36047062600s0,-73.9342227176888,40.5956636938047,665725
3175666,36047062600i2296,55,f,36047062600h653,1,36047062600h653,-73.9342227176888,40.5956636938047,665725
3175667,36047062600i1060,58,f,36047062600h653,1,36047062600h653,-73.9342227176888,40.5956636938047,665725
3175668,36047062600i791,61,m,36047062600h653,1,36047062600h653,-73.9342227176888,40.5956636938047,665725
2478371,36047038300i2989,50,f,36047038300h859,4,36047038300h859,-73.9250386963009,40.6854072784145,797171
2478372,36047038300i1512,35,f,36047038300h859,4,36059301800w1592,-73.9250386963009,40.6854072784145,797171
267921,36005009800i4381,13,f,36005009800h950,3,36005024400s0,-73.84684087686091,40.8273056417511,1132271
267922,36005009800i4666,51,f,36005009800h950,3,36081016100w11,-73.84684087686091,40.8273056417511,1132271
267923,36005009800i670,20,m,36005009800h950,3,36005009800h950,-73.84684087686091,40.8273056417511,1132271
267924,36005009800i1733,9,m,36005009800h950,3,36005000400s0,-73.84684087686091,40.8273056417511,1132271
9625715,34013007900i2996,51,m,34013007900h945,1,34013008000w1442,-74.1632332323429,40.7350219190566,324868
9625716,34013007900i1416,56,f,34013007900h945,1,34013007900h945,-74.1632332323429,40.7350219190566,324868
9625717,34013007900i1223,53,m,34013007900h945,1,34013007900h945,-74.1632332323429,40.7350219190566,324868
9625718,34013007900i3387,14,m,34013007900h945,1,34023001702s0,-74.1632332323429,40.7350219190566,324868
5504147,36061024500i7181,52,f,36061024500h3879,0,34017020000w305,-73.9420592660375,40.8361374953036,1253028
5504148,36061024500i4854,49,m,36061024500h3879,0,36061019400w212,-73.9420592660375,40.8361374953036,1253028
9106312,34003029100i1266,39,f,34003029100h966,1,34017019900w868,-74.03517701922071,40.8559096900625,318740
9106313,34003029100i1115,48,m,34003029100h966,1,34017014502w68,-74.03517701922071,40.8559096900625,318740
9106314,34003029100i1214,4,m,34003029100h966,1,34013008100s0,-74.03517701922071,40.8559096900625,318740
9106315,34003029100i3767,35,f,34003029100h966,1,34023007000w17,-74.03517701922071,40.8559096900625,318740
2709570,36047046000i1605,40,f,36047046000h789,1,36047022200w30,-73.9683176371978,40.63101760450171,768829
2709571,36047046000i1237,37,m,36047046000h789,1,36047048200w113,-73.9683176371978,40.63101760450171,768829
2709572,36047046000i2216,6,m,36047046000h789,1,36047081000s1,-73.9683176371978,40.63101760450171,768829
2709573,36047046000i3621,0,m,36047046000h789,1,36047082200d1,-73.9683176371978,40.63101760450171,768829
5947297,36081011300i285,28,f,36081011300h225,9,36081011300h225,-73.908153834105,40.776563611595996,696661
5151751,36061018300i4615,14,m,36061018300h2883,1,36061017500s0,-73.9738658167937,40.7943548349395,683504
5151752,36061018300i3417,54,f,36061018300h2883,1,36061018300h2883,-73.9738658167937,40.7943548349395,683504
5151753,36061018300i4599,12,f,36061018300h2883,1,36061018300s1,-73.9738658167937,40.7943548349395,683504
5151754,36061018300i3173,47,m,36061018300h2883,1,36061018300h2883,-73.9738658167937,40.7943548349395,683504
4186247,36061001502i1695,24,f,36061001502h1543,1,36061009600w2470,-74.0075003058009,40.710097413421394,774974
4186248,36061001502i2009,34,m,36061001502h1543,1,36061008200w1634,-74.0075003058009,40.710097413421394,774974
4186249,36061001502i4589,5,m,36061001502h1543,1,36061001501s1,-74.0075003058009,40.710097413421394,774974
4186250,36061001502i4592,16,f,36061001502h1543,1,36061001300s2,-74.0075003058009,40.710097413421394,774974
4186251,36061001502i4611,3,f,36061001502h1543,1,36061001501d0,-74.0075003058009,40.710097413421394,774974
4186252,36061001502i4612,6,f,36061001502h1543,1,36061001501s1,-74.0075003058009,40.710097413421394,774974
4186253,36061001502i4628,14,m,36061001502h1543,1,36061001300s2,-74.0075003058009,40.710097413421394,774974
2056368,36047025901i104,13,m,36047025901h177,5,36047123700s0,-73.946576244601,40.6949215333505,796726
2056369,36047025901i101,10,f,36047025901h177,5,36047028100s2,-73.946576244601,40.6949215333505,796726
2056370,36047025901i190,20,f,36047025901h177,5,36047025901h177,-73.946576244601,40.6949215333505,796726
2056371,36047025901i103,15,m,36047025901h177,5,36047048500s2,-73.946576244601,40.6949215333505,796726
2056372,36047025901i1539,30,f,36047025901h177,5,36061008400w1192,-73.946576244601,40.6949215333505,796726
4216189,36061002100i2336,29,m,36061002100h1457,1,36061006700w137,-74.00903116646249,40.7131545465839,683912
4216190,36061002100i3712,0,m,36061002100h1457,1,36061003300d0,-74.00903116646249,40.7131545465839,683912
4216191,36061002100i2304,33,f,36061002100h1457,1,36061011900w1736,-74.00903116646249,40.7131545465839,683912
2341365,36047034300i4373,21,f,36047034300h948,5,36061014500w1080,-73.9380777286798,40.6727672323862,769407
2341366,36047034300i5054,49,f,36047034300h948,5,36047034300h948,-73.9380777286798,40.6727672323862,769407
2341367,36047034300i4217,46,m,36047034300h948,5,36047034300h948,-73.9380777286798,40.6727672323862,769407
2341368,36047034300i2031,14,m,36047034300h948,5,36047027100s0,-73.9380777286798,40.6727672323862,769407
2341369,36047034300i2040,1,m,36047034300h948,5,36047034300d2,-73.9380777286798,40.6727672323862,769407
2341370,36047034300i1789,41,f,36047034300h948,5,36047034300h948,-73.9380777286798,40.6727672323862,769407
817781,36005027401i2800,57,m,36005027401h1543,0,36081020500w247,-73.8218691011737,40.8356669132575,656545
817782,36005027401i2942,62,f,36005027401h1543,0,36103158704w137,-73.8218691011737,40.8356669132575,656545
917723,36005032300i4223,43,f,36005032300h2621,6,36005032300h2621,-73.9055462642318,40.905978128705705,654589
917724,36005032300i4206,43,f,36005032300h2621,6,36061013700w690,-73.9055462642318,40.905978128705705,654589
6204642,36081024000i1431,52,m,36081024000h1007,1,36081024000h1007,-73.8068014545907,40.7033359564316,699685
6204643,36081024000i1778,53,f,36081024000h1007,1,36119011200w136,-73.8068014545907,40.7033359564316,699685
6204644,36081024000i4972,35,m,36081024000h1007,1,36061003100w1713,-73.8068014545907,40.7033359564316,699685
6204645,36081024000i2655,13,f,36081024000h1007,1,36059301800s3,-73.8068014545907,40.7033359564316,699685
3382894,36047080400i3082,22,m,36047080400h714,4,36081089200w150,-73.9481637248609,40.656382009762204,768148
3382895,36047080400i2591,34,f,36047080400h714,4,36047080400h714,-73.9481637248609,40.656382009762204,768148
3382896,36047080400i1231,50,f,36047080400h714,4,36047080400h714,-73.9481637248609,40.656382009762204,768148
4611668,36061009700i2603,85,f,36061009700h418,10,36061009700h418,-73.9971318364598,40.7504714444616,1252903
10389842,34017012500i3197,29,f,34017012500h835,0,34017019800w435,-74.1532809724382,40.7691521756371,809430
10389843,34017012500i3732,5,m,34017012500h835,0,34017013300s0,-74.1532809724382,40.7691521756371,809430
10389844,34017012500i2982,68,m,34017012500h835,0,34017012500h835,-74.1532809724382,40.7691521756371,809430
10389845,34017012500i729,89,m,34017012500h835,0,34017012500h835,-74.1532809724382,40.7691521756371,809430
10389846,34017012500i1368,82,f,34017012500h835,0,34017012700w251,-74.1532809724382,40.7691521756371,809430
619854,36005022404i2496,5,f,36005022404h1199,1,36005000400s0,-73.8658458539973,40.8512708524994,655357
