Id,HmID,WrkID,Sex,Age,Grp
34013018200i751,34013018200h779,34013018200h779,m,2,inGrp
36081116300i2328,36081116300h1482,36081116300h1482,f,63,inGrp
36081116300i6662,36081116300h1482,36081116300h1482,f,36,inGrp
36081116300i8676,36081116300h1482,36081116300h1482,m,14,inGrp
36081116300i2159,36081116300h1482,36081086500w49,m,57,inGrp
36081116300i7999,36081116300h1482,36081116300h1482,f,26,inGrp
36061025300i8555,36061025300h1594,36061027700s3,m,15,inGrp
36061025300i3073,36061025300h1594,36061025300h1594,f,26,inGrp
36061025300i10572,36061025300h1594,36061011500w287,f,25,inGrp
36061019100i1285,36061019100h2308,36061019500s3,m,9,inGrp
36061019100i8482,36061019100h2308,36061019100w51,m,83,inGrp
36061019100i2781,36061019100h2308,36061019100h2308,f,50,inGrp
34003054600i1603,34003054600h1128,34003054600h1128,f,57,inGrp
36047058600i1974,36047058600h488,36047058600h488,m,34,inGrp
36047058600i2171,36047058600h488,36047058600h488,f,51,inGrp
36047058600i871,36047058600h488,36047058600h488,f,37,inGrp
36047058600i810,36047058600h488,36047058600h488,m,38,inGrp
36047058600i1396,36047058600h488,36047058600h488,f,0,inGrp
36047034500i323,36047034500h322,36047034500h322,f,53,inGrp
36047034500i103,36047034500h322,36047027300s1,f,10,inGrp
36047034500i94,36047034500h322,36047027100s0,m,17,inGrp
36047034500i83,36047034500h322,36047027100s0,f,14,inGrp
36047034500i2162,36047034500h322,36047034500h322,m,44,inGrp
36061018500i1107,36061018500h838,36061018500h838,f,39,inGrp
36047021600i889,36047021600h398,36047021600h398,m,54,inGrp
36047021600i892,36047021600h398,34017006000w2,f,40,inGrp
36047021600i760,36047021600h398,36047010800s1,m,8,inGrp
36047021600i758,36047021600h398,36047023600d3,f,0,inGrp
36047021600i2329,36047021600h398,36047022000s0,f,13,inGrp
36047021600i756,36047021600h398,36047023600d3,f,0,inGrp
36005027402i1686,36005027402h994,36005027402h994,f,21,inGrp
36005027402i1665,36005027402h994,36005020000w115,m,34,inGrp
34013007300i409,34013007300h549,34013007300h549,m,29,inGrp
34013007300i1414,34013007300h549,34013007300h549,m,6,inGrp
34013007300i1423,34013007300h549,34013007300h549,f,0,inGrp
34013007300i1432,34013007300h549,34013007300h549,f,14,inGrp
34017011600i2994,34017011600h1612,36061009800w235,f,57,inGrp
34017011600i2572,34017011600h1612,34017011600h1612,m,59,inGrp
34003025200i5247,34003025200h757,34003025200s3,m,12,inGrp
34003025200i1013,34003025200h757,34003025200w159,f,50,inGrp
34003025200i5025,34003025200h757,34017012400w8,m,88,inGrp
34003025200i743,34003025200h757,34003025200h757,m,62,inGrp
34003025200i5332,34003025200h757,34003025200d2,f,1,inGrp
34003025200i769,34003025200h757,34003023100s0,f,10,inGrp
34003025200i773,34003025200h757,34003023502s0,f,14,inGrp
36119008403i3233,36119008403h1222,36119008403h1222,m,48,inGrp
36119008403i2372,36119008403h1222,36119008403h1222,m,79,inGrp
36119008403i2534,36119008403h1222,36047000900w6559,f,78,inGrp
36119008403i3021,36119008403h1222,36119008403h1222,f,35,inGrp
36047022200i4609,36047022200h581,36047022200h581,f,41,inGrp
36047022200i1415,36047022200h581,36047022200h581,f,19,inGrp
36047022200i4234,36047022200h581,36047023200d3,f,0,inGrp
36047022200i3267,36047022200h581,36047008200s1,m,15,inGrp
36047022200i850,36047022200h581,36047009400s0,m,5,inGrp
36047022200i1158,36047022200h581,36047023800w38,m,29,inGrp
36047022200i855,36047022200h581,36047009400s0,f,4,inGrp
36047022200i853,36047022200h581,36047009400s0,m,7,inGrp
36081134700i3778,36081134700h2112,36005000400s0,m,11,inGrp
36081134700i3184,36081134700h2112,36081134700h2112,f,45,inGrp
36081134700i2586,36081134700h2112,36081134700h2112,m,50,inGrp
36047038900i1215,36047038900h825,36061016300w25,m,23,inGrp
36047038900i1214,36047038900h825,36061031703w518,m,31,inGrp
36047038900i1217,36047038900h825,36047038900h825,m,26,inGrp
36047038900i2495,36047038900h825,36047042500s0,f,10,inGrp
36047038900i2365,36047038900h825,36047038900h825,m,39,inGrp
36047038900i2126,36047038900h825,36081025301w32,m,75,inGrp
36059301800i3558,36059301800h1703,36059301800w1257,f,46,inGrp
36059301800i3539,36059301800h1703,36059301800h1703,m,40,inGrp
36047009200i1661,36047009200h882,36081053100w173,f,39,inGrp
36047009200i2246,36047009200h882,36047049800s0,m,13,inGrp
36047009200i2237,36047009200h882,36047076800s7,m,14,inGrp
36047009200i1366,36047009200h882,36047009200h882,m,32,inGrp
36047009200i4490,36047009200h882,36047009200h882,m,39,inGrp
34017016200i140,34017016200h244,34017016200h244,m,60,inGrp
36119004300i1408,36119004300h472,36119006600s1,f,17,inGrp
36119004300i738,36119004300h472,36119004300h472,m,72,inGrp
36119004300i688,36119004300h472,36119004300h472,f,78,inGrp
36119004300i1660,36119004300h472,36119000900w249,m,80,inGrp
36119004300i1597,36119004300h472,36061002900w2610,f,47,inGrp
36047025901i446,36047025901h268,36047025901h268,f,35,inGrp
36047025901i617,36047025901h268,36047050900s0,m,7,inGrp
36047025901i1768,36047025901h268,36047025901h268,m,33,inGrp
36047025901i1419,36047025901h268,36047025901h268,f,28,inGrp
36081026300i3738,36081026300h1928,36081026300h1928,f,34,inGrp
36081026300i4754,36081026300h1928,36081026300h1928,f,22,inGrp
36081026300i3751,36081026300h1928,36081026300h1928,f,21,inGrp
34017016300i2566,34017016300h1459,34017016300w24,m,41,inGrp
34017016300i4400,34017016300h1459,34017016300h1459,m,54,inGrp
34017016300i2567,34017016300h1459,34017016300h1459,m,45,inGrp
34013002500i2642,34013002500h877,34013002500h877,f,52,inGrp
34013002500i813,34013002500h877,34013016800w348,m,48,inGrp
34013002500i3421,34013002500h877,34013002500h877,m,11,inGrp
34013002500i1564,34013002500h877,34013002500h877,m,14,inGrp
34013002500i1568,34013002500h877,34013002500h877,f,9,inGrp
34013002500i1641,34013002500h877,34013004600w210,f,52,inGrp
36047037000i675,36047037000h679,36047037000h679,m,37,inGrp
36047037000i1002,36047037000h679,36047037000d1,f,1,inGrp
36047037000i1089,36047037000h679,36047037000h679,f,38,inGrp
36047018700i570,36047018700h368,36061009200w1912,m,24,inGrp
36047018700i1382,36047018700h368,36061008200w2019,m,55,inGrp
36047018700i680,36047018700h368,36061011800w158,f,19,inGrp
36047062600i1832,36047062600h653,36047062600s0,f,14,inGrp
36047062600i2327,36047062600h653,36047055800s0,m,13,inGrp
36047062600i1873,36047062600h653,36047062600s0,m,17,inGrp
36047062600i2296,36047062600h653,36047062600h653,f,55,inGrp
36047062600i1060,36047062600h653,36047062600h653,f,58,inGrp
36047062600i791,36047062600h653,36047062600h653,m,61,inGrp
36047038300i2989,36047038300h859,36047038300h859,f,50,inGrp
36047038300i1512,36047038300h859,36059301800w1592,f,35,inGrp
36005009800i4381,36005009800h950,36005024400s0,f,13,inGrp
36005009800i4666,36005009800h950,36081016100w11,f,51,inGrp
36005009800i670,36005009800h950,36005009800h950,m,20,inGrp
36005009800i1733,36005009800h950,36005000400s0,m,9,inGrp
34013007900i2996,34013007900h945,34013008000w1442,m,51,inGrp
34013007900i1416,34013007900h945,34013007900h945,f,56,inGrp
34013007900i1223,34013007900h945,34013007900h945,m,53,inGrp
34013007900i3387,34013007900h945,34013007900h945,m,14,inGrp
36061024500i7181,36061024500h3879,34017020000w305,f,52,inGrp
36061024500i4854,36061024500h3879,36061019400w212,m,49,inGrp
34003029100i1266,34003029100h966,34017019900w868,f,39,inGrp
34003029100i1115,34003029100h966,34017014502w68,m,48,inGrp
34003029100i1214,34003029100h966,34013008100s0,m,4,inGrp
34003029100i3767,34003029100h966,34003029100h966,f,35,inGrp
36047046000i1605,36047046000h789,36047022200w30,f,40,inGrp
36047046000i1237,36047046000h789,36047048200w113,m,37,inGrp
36047046000i2216,36047046000h789,36047081000s1,m,6,inGrp
36047046000i3621,36047046000h789,36047082200d1,m,0,inGrp
36081011300i285,36081011300h225,36081011300h225,f,28,inGrp
36061018300i4615,36061018300h2883,36061017500s0,m,14,inGrp
36061018300i3417,36061018300h2883,36061018300h2883,f,54,inGrp
36061018300i4599,36061018300h2883,36061018300s1,f,12,inGrp
36061018300i3173,36061018300h2883,36061018300h2883,m,47,inGrp
36061001502i1695,36061001502h1543,36061001502h1543,f,24,inGrp
36061001502i2009,36061001502h1543,36061008200w1634,m,34,inGrp
36061001502i4589,36061001502h1543,36061001501s1,m,5,inGrp
36061001502i4592,36061001502h1543,36061001300s2,f,16,inGrp
36061001502i4611,36061001502h1543,36061001501d0,f,3,inGrp
36061001502i4612,36061001502h1543,36061001501s1,f,6,inGrp
36061001502i4628,36061001502h1543,36061001300s2,m,14,inGrp
36047025901i104,36047025901h177,36047123700s0,m,13,inGrp
36047025901i101,36047025901h177,36047028100s2,f,10,inGrp
36047025901i190,36047025901h177,36047025901h177,f,20,inGrp
36047025901i103,36047025901h177,36047048500s2,m,15,inGrp
36047025901i1539,36047025901h177,36061008400w1192,f,30,inGrp
36061002100i2336,36061002100h1457,36061006700w137,m,29,inGrp
36061002100i3712,36061002100h1457,36061003300d0,m,0,inGrp
36061002100i2304,36061002100h1457,36061011900w1736,f,33,inGrp
36047034300i4373,36047034300h948,36061014500w1080,f,21,inGrp
36047034300i5054,36047034300h948,36047034300h948,f,49,inGrp
36047034300i4217,36047034300h948,36047034300h948,m,46,inGrp
36047034300i2031,36047034300h948,36047027100s0,m,14,inGrp
36047034300i2040,36047034300h948,36047034300d2,m,1,inGrp
36047034300i1789,36047034300h948,36047034300h948,f,41,inGrp
36005027401i2800,36005027401h1543,36081020500w247,m,57,inGrp
36005027401i2942,36005027401h1543,36005027401h1543,f,62,inGrp
36005032300i4223,36005032300h2621,36005032300h2621,f,43,inGrp
36005032300i4206,36005032300h2621,36061013700w690,f,43,inGrp
36081024000i1431,36081024000h1007,36081024000h1007,m,52,inGrp
36081024000i1778,36081024000h1007,36081024000h1007,f,53,inGrp
36081024000i4972,36081024000h1007,36061003100w1713,m,35,inGrp
36081024000i2655,36081024000h1007,36059301800s3,f,13,inGrp
36047080400i3082,36047080400h714,36081089200w150,m,22,inGrp
36047080400i2591,36047080400h714,36047080400h714,f,34,inGrp
36047080400i1231,36047080400h714,36047080400h714,f,50,inGrp
36061009700i2603,36061009700h418,36061009700h418,f,85,inGrp
34017012500i3197,34017012500h835,34017019800w435,f,29,inGrp
34017012500i3732,34017012500h835,34017013300s0,m,5,inGrp
34017012500i1368,34017012500h835,34017012700w251,f,82,inGrp
36005022404i2496,36005022404h1199,36005000400s0,f,5,inGrp
36005022404i1494,36005022404h1199,36081062100w31,m,32,inGrp
36005022404i2018,36005022404h1199,36005022404h1199,f,32,inGrp
34039031300i5554,34039031300h1008,34039031300h1008,f,33,inGrp
34039031300i4904,34039031300h1008,34039031300h1008,f,46,inGrp
34039031300i1038,34039031300h1008,34039031300h1008,m,46,inGrp
34039031300i5041,34039031300h1008,34039031300h1008,m,26,inGrp
36047086600i24,36047086600h86,36047086600h86,f,50,inGrp
34013016400i1170,34013016400h713,34013013400w251,m,51,inGrp
34013016400i1371,34013016400h713,34017000800w5,f,58,inGrp
34013016400i1932,34013016400h713,34013016400h713,f,15,inGrp
36061005200i466,36061005200h593,36061007400w848,m,33,inGrp
34013004300i1393,34013004300h836,34013004300h836,m,54,inGrp
34013004300i1406,34013004300h836,34013004300h836,m,46,inGrp
36061006100i1708,36061006100h1500,36061006100h1500,f,56,inGrp
36061006100i770,36061006100h1500,36061005000s0,m,17,inGrp
36061006100i1976,36061006100h1500,36061010400w2200,m,56,inGrp
36061006100i783,36061006100h1500,36061005000s0,m,16,inGrp
36061006100i836,36061006100h1500,36061005000s0,m,17,inGrp
36081048900i656,36081048900h327,36081048900h327,m,51,inGrp
36081048900i647,36081048900h327,36081099801w118,f,56,inGrp
36005027402i2717,36005027402h662,36005027402h662,f,86,inGrp
36005027402i3051,36005027402h662,36005027402h662,m,34,inGrp
36005027402i935,36005027402h662,36005001600s10,m,15,inGrp
36005027402i921,36005027402h662,36005001600s10,m,14,inGrp
36005027402i1023,36005027402h662,36005001600s10,m,15,inGrp
36005027402i726,36005027402h662,36005027402h662,m,65,inGrp
36005027402i889,36005027402h662,36005001600s10,f,17,inGrp
36005027402i862,36005027402h662,36005027402h662,f,58,inGrp
34017017400i1870,34017017400h728,34017017400h728,m,46,inGrp
34017017400i2392,34017017400h728,34017017400h728,m,25,inGrp
34017017400i1181,34017017400h728,34017017400h728,m,37,inGrp
34017017400i1402,34017017400h728,34017017400h728,f,40,inGrp
36061024302i2711,36061024302h2483,36081019900w522,m,65,inGrp
36061024302i4791,36061024302h2483,36061003100w2403,f,73,inGrp
36061029300i1161,36061029300h1788,36047000900w2499,m,22,inGrp
36061029300i7795,36061029300h1788,34003036100w878,f,29,inGrp
36061029300i7491,36061029300h1788,36061029900d0,m,2,inGrp
36061029300i8504,36061029300h1788,36061030900s1,f,11,inGrp
36061005600i2492,36061005600h1723,36061009500w242,f,30,inGrp
36061005600i2486,36061005600h1723,36061005600h1723,f,41,inGrp
36081040700i5002,36081040700h1274,36081040700h1274,m,50,inGrp
36081040700i4305,36081040700h1274,36081040700h1274,m,6,inGrp
36081040700i3837,36081040700h1274,36081040700h1274,m,23,inGrp
36081040700i8246,36081040700h1274,36081040700h1274,f,29,inGrp
36081040700i6022,36081040700h1274,36081040700h1274,f,57,inGrp
36081040700i5881,36081040700h1274,36081040700h1274,m,29,inGrp
36081040700i6995,36081040700h1274,36081040700h1274,f,4,inGrp
36081040700i2920,36081040700h1274,36081040700h1274,f,35,inGrp
36081040700i7715,36081040700h1274,36081040700h1274,m,39,inGrp
36081040700i4729,36081040700h1274,36081040700h1274,m,40,inGrp
36081040700i5314,36081040700h1274,36081040700h1274,f,8,inGrp
36081040700i2226,36081040700h1274,36081040700h1274,m,32,inGrp
36119002403i1033,36119002403h1083,36119002600w37,m,55,inGrp
36119002403i5136,36119002403h1083,36119003700s1,f,12,inGrp
36119002403i4969,36119002403h1083,36119002900s0,f,17,inGrp
36119002403i1389,36119002403h1083,36119003400s0,f,4,inGrp
36047042500i278,36047042500h183,36081017900s4,m,17,inGrp
36047042500i267,36047042500h183,36081017900s4,f,17,inGrp
36047042500i206,36047042500h183,36047042500h183,f,26,inGrp
36047042500i275,36047042500h183,36081049302s2,f,6,inGrp
36047042500i2527,36047042500h183,36047042500h183,f,21,inGrp
34003029200i3317,34003029200h1383,34003029200h1383,f,7,inGrp
34003029200i2426,34003029200h1383,34003029200h1383,f,41,inGrp
34003029200i5980,34003029200h1383,34003029200h1383,f,43,inGrp
34003029200i2060,34003029200h1383,34003029200h1383,m,40,inGrp
34003029200i5349,34003029200h1383,34003029200h1383,m,41,inGrp
36047075800i618,36047075800h57,36047064800w6,f,79,inGrp
36119006400i5076,36119006400h915,36119006400h915,f,84,inGrp
36119006400i4173,36119006400h915,36119006400h915,f,34,inGrp
36119006400i1734,36119006400h915,36119006400h915,f,75,inGrp
36119006400i4804,36119006400h915,36119005702s0,m,12,inGrp
36119006400i3885,36119006400h915,36119006400h915,f,24,inGrp
36061004000i890,36061004000h565,36061005200w898,f,52,inGrp
34003031300i2137,34003031300h1232,34003031300h1232,f,53,inGrp
34003031300i1715,34003031300h1232,34003036100w755,m,53,inGrp
34003031300i3381,34003031300h1232,34013014600s1,m,13,inGrp
34003031300i5142,34003031300h1232,34013013900w29,m,52,inGrp
34003017300i2392,34003017300h809,34003017300h809,m,7,inGrp
34003017300i2386,34003017300h809,34003022200s0,m,13,inGrp
34003017300i1201,34003017300h809,34003017300h809,m,54,inGrp
34003017300i5446,34003017300h809,34031246103w60,f,88,inGrp
34003017300i1528,34003017300h809,36061020300w1254,f,50,inGrp
34003017300i2388,34003017300h809,34013016500s1,f,15,inGrp
34003017300i4740,34003017300h809,34003017300h809,m,56,inGrp
36047010200i1890,36047010200h1030,36047010200h1030,m,33,inGrp
36047010200i2118,36047010200h1030,36047000900w7801,f,33,inGrp
36047010200i4273,36047010200h1030,36047003300s0,m,16,inGrp
36047010200i3709,36047010200h1030,36047010200h1030,m,29,inGrp
36047010200i3230,36047010200h1030,36047010200h1030,f,54,inGrp
36081085500i5684,36081085500h1389,36081085500h1389,m,45,inGrp
36081085500i1529,36081085500h1389,36061007800w175,m,65,inGrp
36081085500i5279,36081085500h1389,36081085500h1389,f,63,inGrp
36081085500i5188,36081085500h1389,36081085500h1389,m,73,inGrp
36081085500i5347,36081085500h1389,36081085500h1389,m,38,inGrp
36081085500i1996,36081085500h1389,36081085500h1389,f,70,inGrp
36081099802i1355,36081099802h1500,36081100802s2,f,16,inGrp
36081099802i1342,36081099802h1500,36081100802s2,m,15,inGrp
36081099802i5197,36081099802h1500,36081099802h1500,m,41,inGrp
36081099802i1562,36081099802h1500,36081099802h1500,f,27,inGrp
36061022500i266,36061022500h719,36061022500h719,m,57,inGrp
36047089800i554,36047089800h484,36047089800h484,m,28,inGrp
36047089800i1108,36047089800h484,36081085500s0,m,10,inGrp
36047089800i788,36047089800h484,36047089800h484,m,19,inGrp
36047089800i814,36047089800h484,36047089800h484,f,18,inGrp
36047089800i1757,36047089800h484,36047089800h484,f,74,inGrp
36061016500i3237,36061016500h2415,36061016500h2415,m,60,inGrp
36061016500i3683,36061016500h2415,36061003900w788,f,50,inGrp
36005025300i1251,36005025300h1351,36005025300h1351,m,29,inGrp
36005025300i3051,36005025300h1351,36005023703s0,f,12,inGrp
36005025300i6136,36005025300h1351,36005025300h1351,m,30,inGrp
36005025300i1689,36005025300h1351,36005025300h1351,f,18,inGrp
36081067700i1546,36081067700h336,36081003300w803,f,52,inGrp
36081067700i1086,36081067700h336,36081067700h336,m,17,inGrp
36081067700i960,36081067700h336,36081067700h336,f,16,inGrp
36081067700i492,36081067700h336,36061007600w1466,m,56,inGrp
36081067700i525,36081067700h336,36081067700h336,f,60,inGrp
34003006300i2929,34003006300h1768,34003006300h1768,f,38,inGrp
34003006300i2265,34003006300h1768,34017019800w354,m,42,inGrp
34003006300i7755,34003006300h1768,34003006300h1768,m,49,inGrp
34003006300i8089,34003006300h1768,34017014400w44,m,25,inGrp
34003006300i4034,34003006300h1768,34003019303d0,f,2,inGrp
34003006300i4037,34003006300h1768,34003019303d0,f,3,inGrp
36005021100i3859,36005021100h857,36047053800w332,f,49,inGrp
36005021100i1747,36005021100h857,36005021100h857,f,27,inGrp
36005021100i1918,36005021100h857,36005001600s10,m,17,inGrp
36005021100i3799,36005021100h857,36005001600s10,f,16,inGrp
36081086900i1863,36081086900h525,36081086900h525,m,29,inGrp
36081086900i957,36081086900h525,36081086900h525,f,53,inGrp
36081086900i2000,36081086900h525,36081086900h525,f,74,inGrp
36081086900i2071,36081086900h525,36047000900w9836,f,60,inGrp
36081086900i825,36081086900h525,36081025700w61,m,49,inGrp
34013016500i306,34013016500h346,34013016800w472,f,43,inGrp
34013016500i12,34013016500h346,34013016500h346,f,5,inGrp
36081029700i714,36081029700h406,36081029700h406,m,23,inGrp
36081029700i1638,36081029700h406,36081029700h406,m,75,inGrp
36081029700i1556,36081029700h406,36081029700h406,f,42,inGrp
36081029700i1665,36081029700h406,36081005700s1,m,13,inGrp
36081029700i923,36081029700h406,36061000900w1154,f,19,inGrp
36081015500i1331,36081015500h767,36061015300w539,m,51,inGrp
36081015500i1339,36081015500h767,36081015500h767,m,64,inGrp
36081015500i1334,36081015500h767,36081015500h767,m,40,inGrp
36061007800i7697,36061007800h4921,36061007800h4921,f,31,inGrp
36061007800i7698,36061007800h4921,36061005800w659,f,31,inGrp
36081116700i750,36081116700h437,36081116700h437,m,51,inGrp
36081116700i1560,36081116700h437,36081085300w157,f,34,inGrp
36081116700i1471,36081116700h437,36081116700h437,f,59,inGrp
36081116700i772,36081116700h437,36081116700h437,f,51,inGrp
36081134700i6308,36081134700h3379,36081134700h3379,m,37,inGrp
36081134700i6297,36081134700h3379,36081001900w748,f,37,inGrp
36081122701i7735,36081122701h4043,36081122701h4043,m,27,inGrp
36081122701i7636,36081122701h4043,36081122701h4043,f,20,inGrp
36047056000i1011,36047056000h738,36047058200s0,m,10,inGrp
36047056000i2785,36047056000h738,36047055600w7,m,39,inGrp
36047056000i1026,36047056000h738,36047058200s0,m,11,inGrp
36047056000i1072,36047056000h738,36047056000h738,f,54,inGrp
36047056000i734,36047056000h738,36047056000h738,m,52,inGrp
36047056000i1027,36047056000h738,36047057800s1,m,14,inGrp
36047056000i3272,36047056000h738,36047055800s0,m,12,inGrp
36005024100i5757,36005024100h634,36005024100h634,m,19,inGrp
36005024100i1590,36005024100h634,36005000400s0,f,9,inGrp
36005024100i1396,36005024100h634,36005024100h634,f,20,inGrp
36005024100i4749,36005024100h634,36005024100h634,f,29,inGrp
34031246104i1002,34031246104h774,34031246104h774,m,57,inGrp
34031246104i2745,34031246104h774,34031246104h774,m,78,inGrp
34031246104i2931,34031246104h774,34031246104h774,m,35,inGrp
34031246104i1075,34031246104h774,34031246103w221,f,63,inGrp
34031246104i3031,34031246104h774,34031246104h774,m,31,inGrp
36047024300i16,36047024300h1516,36047024300h1516,m,19,inGrp
36047024300i75,36047024300h1516,36047053100w78,m,19,inGrp
36047024300i192,36047024300h1516,36061011600w602,m,18,inGrp
36047024300i2139,36047024300h1516,36047024300h1516,m,23,inGrp
36081033402i5455,36081033402h3735,36081033402h3735,f,61,inGrp
36047007200i224,36047007200h119,36047015500d0,m,2,inGrp
36047007200i172,36047007200h119,36047007200h119,f,21,inGrp
36047007200i1882,36047007200h119,36047007200h119,f,57,inGrp
36047007200i1870,36047007200h119,36047007200h119,m,23,inGrp
36047007200i1592,36047007200h119,36047007200h119,m,22,inGrp
34003052100i4229,34003052100h2167,34003052100w357,m,52,inGrp
34003052100i4360,34003052100h2167,34017019800w436,f,43,inGrp
